Hunting District,Residency,Total Harvest,Bulls,Cows,Calves,Bow,Rifle,Spike Bull Elk,Less than 6 Points,6 or More Points
100,N,8,8,0,0,0,8,0,8,0
100,R,98,75,23,0,24,72,0,53,21
101,N,11,11,0,0,3,8,0,11,0
101,R,63,48,15,0,9,54,0,48,0
103,N,0,0,0,0,0,0,0,0,0
103,R,92,57,32,3,12,80,0,42,15
104,N,3,3,0,0,3,0,0,0,3
104,R,29,21,8,0,12,17,0,12,9
110,N,0,0,0,0,0,0,0,0,0
110,R,24,18,6,0,0,24,0,15,3
120,N,0,0,0,0,0,0,0,0,0
120,R,75,66,6,3,21,54,3,45,18
121,N,60,46,14,0,35,25,0,33,11
121,R,166,99,61,5,20,146,0,75,24
122,N,14,14,0,0,3,11,0,5,8
122,R,80,65,14,0,15,62,0,54,11
123,N,5,3,3,0,0,5,0,3,0
123,R,33,21,12,0,6,24,0,15,6
124,N,4,3,1,0,0,4,0,3,0
124,R,31,20,11,0,0,31,0,17,3
130,N,0,0,0,0,0,0,0,0,0
130,R,48,39,9,0,12,33,0,27,12
140,N,3,3,0,0,0,3,0,0,3
140,R,21,15,6,0,6,12,0,6,9
141,N,3,0,3,0,0,3,0,0,0
141,R,9,6,3,0,3,6,0,3,3
150,N,19,19,0,0,5,14,0,11,8
150,R,30,30,0,0,0,30,0,15,15
170,N,0,0,0,0,0,0,0,0,0
170,R,45,27,12,6,3,39,0,15,12
200,N,0,0,0,0,0,0,0,0,0
200,R,35,30,5,0,3,29,0,21,6
201,N,10,8,2,0,5,5,0,3,5
201,R,277,198,75,3,30,247,0,135,63
202,N,0,0,0,0,0,0,0,0,0
202,R,58,53,5,0,6,49,2,33,18
204,N,8,3,5,0,5,2,0,3,0
204,R,50,21,29,0,6,44,0,12,9
210,N,26,24,2,0,5,21,0,14,11
210,R,119,86,33,0,8,111,0,48,38
211,N,19,19,0,0,3,16,0,16,3
211,R,89,54,27,8,26,63,0,36,18
212,N,19,19,0,0,0,19,0,11,8
212,R,24,24,0,0,6,18,0,21,3
213,N,58,30,28,0,16,42,0,14,16
213,R,237,138,97,2,29,205,0,108,29
214,N,5,5,0,0,3,3,0,5,0
214,R,53,53,0,0,6,47,0,44,9
215,N,54,46,8,0,16,38,0,35,11
215,R,277,162,109,5,21,256,0,108,54
216,N,2,0,0,2,2,0,0,0,0
216,R,37,21,13,3,0,37,0,6,15
217,N,14,4,10,0,3,12,0,0,4
217,R,73,56,14,2,3,66,0,26,30
240,N,12,8,2,3,0,12,0,5,3
240,R,124,82,41,2,12,112,0,64,18
250,N,1,1,0,0,0,1,0,1,0
250,R,17,13,4,0,6,11,0,7,7
260,N,2,0,2,0,2,0,0,0,0
260,R,30,12,15,3,24,6,0,6,6
261,N,3,3,0,0,0,3,0,0,3
261,R,23,9,14,0,6,17,0,9,0
262,N,6,0,6,0,0,6,0,0,0
262,R,107,21,80,6,9,98,0,9,12
270,N,113,86,23,3,9,104,0,69,17
270,R,312,149,160,3,40,269,0,111,37
280,N,3,3,0,0,0,3,0,3,0
280,R,18,18,0,0,0,18,0,12,6
281,N,16,11,5,0,3,14,0,5,5
281,R,63,57,5,0,18,45,0,39,18
282,N,0,0,0,0,0,0,0,0,0
282,R,4,0,4,0,0,4,0,0,0
284,N,5,3,3,0,3,3,0,0,3
284,R,20,15,5,0,8,12,0,12,3
285,N,4,3,1,0,0,4,0,3,0
285,R,86,59,27,0,15,70,0,44,15
290,N,11,5,5,0,3,8,0,5,0
290,R,35,14,21,0,5,30,0,12,2
291,N,25,19,6,0,9,16,0,14,5
291,R,77,40,32,5,12,65,0,29,11
292,N,3,3,0,0,0,3,0,3,0
292,R,94,66,28,0,12,82,0,54,12
293,N,21,19,2,0,8,13,0,19,0
293,R,115,81,33,0,29,85,3,39,39
298,N,5,3,3,0,0,5,0,0,3
298,R,37,9,28,0,3,34,0,6,3
301,N,30,19,11,0,11,19,0,11,8
301,R,93,72,21,0,27,66,0,48,24
302,N,81,38,41,3,9,72,0,35,3
302,R,177,93,81,3,15,162,0,60,33
303,N,48,32,16,0,8,40,0,24,8
303,R,123,81,39,3,12,108,6,57,18
304,N,21,16,5,0,3,18,0,16,0
304,R,42,33,9,0,9,30,0,12,21
309,N,14,8,5,0,0,11,0,3,5
309,R,45,18,24,3,3,30,0,9,9
310,N,19,16,3,0,5,14,0,8,8
310,R,59,44,12,3,16,43,0,28,16
311,N,27,11,17,0,0,27,0,0,11
311,R,188,57,119,12,9,179,0,12,45
312,N,56,46,10,0,11,45,0,14,33
312,R,184,106,73,6,12,172,0,33,69
313,N,100,99,1,0,11,89,0,74,24
313,R,189,140,47,3,38,151,2,91,47
314,N,124,73,50,0,24,99,0,35,38
314,R,493,120,362,12,15,478,0,57,63
315,N,142,103,36,3,24,117,5,54,43
315,R,248,150,89,9,42,206,3,78,70
316,N,16,16,0,0,0,16,0,5,11
316,R,21,12,9,0,0,21,0,6,6
317,N,77,46,31,0,11,66,0,24,22
317,R,286,96,187,3,33,250,0,36,59
318,N,7,3,4,0,3,4,0,3,0
318,R,128,75,50,3,39,89,0,51,24
319,N,61,46,15,0,19,42,0,24,22
319,R,210,117,93,0,36,174,0,96,21
320,N,108,67,41,0,6,102,0,45,22
320,R,299,176,117,6,31,268,0,105,71
321,N,94,49,43,2,27,67,3,30,16
321,R,318,105,202,12,54,264,0,75,30
322,N,442,235,202,5,49,390,3,159,73
322,R,1209,546,633,30,126,1080,6,378,159
329,N,109,62,44,3,19,87,0,41,22
329,R,262,126,129,6,39,223,0,90,36
331,N,110,73,37,0,27,83,0,49,24
331,R,244,129,98,16,47,196,0,81,48
335,N,18,11,7,0,5,10,0,8,3
335,R,199,105,91,2,24,172,3,84,18
339,N,5,5,0,0,0,5,0,3,3
339,R,119,44,72,3,15,102,24,7,13
340,N,26,14,12,0,0,26,0,8,5
340,R,285,167,115,2,55,230,0,111,56
343,N,9,8,1,0,3,7,0,5,3
343,R,102,45,51,6,15,87,0,30,15
350,N,12,11,1,0,5,6,0,11,0
350,R,73,51,22,0,14,60,3,36,9
360,N,199,127,68,5,21,176,0,89,38
360,R,515,186,311,18,15,500,9,114,63
361,N,41,33,8,0,14,27,0,24,8
361,R,47,39,8,0,18,29,0,24,15
370,N,11,5,5,0,3,8,0,5,0
370,R,75,44,28,3,3,70,3,12,29
380,N,23,10,12,0,5,17,0,0,10
380,R,461,171,269,21,32,429,102,20,49
388,N,4,4,0,0,0,4,0,3,2
388,R,24,6,18,0,3,18,3,3,0
390,N,28,14,14,0,5,22,0,3,11
390,R,136,54,81,0,3,130,0,24,30
391,N,75,62,12,2,17,59,0,30,33
391,R,185,127,50,9,32,154,0,62,65
392,N,24,19,5,0,8,16,0,11,8
392,R,88,75,10,3,15,72,0,48,27
393,N,156,130,26,0,40,116,0,54,76
393,R,386,168,203,15,42,344,0,90,78
400,N,5,3,3,0,0,5,0,0,3
400,R,28,9,16,3,3,25,0,3,6
401,N,15,6,8,0,5,9,0,5,1
401,R,89,31,58,0,18,71,5,12,14
403,N,3,3,0,0,0,3,0,3,0
403,R,0,0,0,0,0,0,0,0,0
404,N,5,5,0,0,3,3,0,0,5
404,R,9,0,9,0,0,9,0,0,0
405,N,5,5,0,0,0,5,0,0,5
405,R,6,3,3,0,0,6,0,3,0
406,N,3,3,0,0,3,0,0,0,3
406,R,3,0,3,0,0,3,0,0,0
410,N,69,41,26,2,38,31,3,2,36
410,R,264,130,132,3,98,166,6,19,105
411,N,118,54,61,5,28,90,2,7,45
411,R,728,245,468,15,141,588,15,30,199
412,N,41,18,23,0,6,34,5,2,11
412,R,138,64,71,3,7,132,0,22,42
413,N,93,65,28,0,35,58,0,22,43
413,R,255,138,108,9,33,222,3,69,66
415,N,0,0,0,0,0,0,0,0,0
415,R,12,3,6,3,0,12,0,3,0
416,N,263,181,82,0,49,214,0,99,81
416,R,327,154,170,3,51,272,0,57,97
417,N,46,25,21,0,21,25,0,1,24
417,R,200,80,113,6,53,147,0,19,61
418,N,41,24,17,0,16,25,0,14,11
418,R,67,33,33,0,6,61,0,18,15
419,N,19,3,14,3,3,17,0,0,3
419,R,39,27,12,0,6,33,0,12,15
420,N,3,0,3,0,0,3,0,0,0
420,R,34,12,22,0,0,34,0,7,6
421,N,38,33,6,0,8,30,0,8,24
421,R,116,63,49,3,12,104,9,12,42
422,N,36,16,19,0,4,31,3,8,5
422,R,73,35,38,0,12,61,3,11,21
424,N,5,5,0,0,0,5,0,3,3
424,R,6,6,0,0,0,6,3,0,3
425,N,22,16,6,0,3,19,0,11,5
425,R,44,18,26,0,0,44,0,9,9
426,N,35,12,23,0,0,35,0,7,5
426,R,71,32,36,3,7,64,0,7,25
441,N,0,0,0,0,0,0,0,0,0
441,R,75,25,48,3,6,63,0,7,17
442,N,14,14,0,0,3,11,0,3,11
442,R,38,30,6,2,6,32,0,9,21
444,N,5,5,0,0,0,5,0,3,3
444,R,12,3,9,0,0,12,0,0,3
445,N,91,68,23,0,14,77,0,16,51
445,R,291,102,189,0,26,265,0,18,84
446,N,177,130,48,0,33,142,0,81,49
446,R,254,103,142,9,27,227,3,48,51
447,N,16,16,0,0,8,8,0,2,14
447,R,270,93,171,6,33,237,0,17,76
448,N,54,34,18,3,27,27,0,15,19
448,R,89,45,41,3,9,80,0,18,27
450,N,9,3,6,0,0,9,0,0,3
450,R,52,27,25,0,15,37,0,15,12
451,N,6,3,3,0,3,3,0,0,3
451,R,24,12,12,0,0,24,0,6,6
452,N,133,70,62,0,16,116,0,41,30
452,R,152,51,98,3,9,143,0,27,24
455,N,11,7,4,0,2,9,0,2,5
455,R,90,23,67,0,7,83,0,8,15
471,N,6,3,3,0,0,6,0,3,0
471,R,21,18,3,0,3,18,3,6,9
502,N,20,7,13,0,6,15,0,4,4
502,R,95,43,52,0,19,76,0,12,31
515,N,41,27,14,0,5,36,3,11,14
515,R,227,124,94,9,15,212,15,42,67
525,N,148,87,62,0,14,135,3,38,46
525,R,385,175,197,12,36,348,21,76,75
535,N,163,32,130,2,22,141,0,10,21
535,R,465,101,335,28,47,417,6,33,59
540,N,104,35,57,11,20,84,8,22,5
540,R,195,70,112,13,17,178,9,37,24
555,N,5,5,0,0,0,5,0,3,3
555,R,24,19,5,0,9,15,0,3,16
565,N,8,3,6,0,0,8,0,3,0
565,R,30,12,18,0,0,30,3,9,0
575,N,42,19,23,0,5,36,3,11,5
575,R,174,70,101,3,6,164,7,30,33
580,N,263,162,101,0,54,209,8,65,89
580,R,546,233,310,3,54,491,34,109,101
590,N,181,93,85,3,60,120,8,17,68
590,R,471,207,260,3,84,386,24,29,155
600,N,0,0,0,0,0,0,0,0,0
600,R,9,3,6,0,3,6,0,3,0
620,N,21,10,10,2,13,8,2,2,6
620,R,71,36,35,0,24,46,6,16,13
621,N,11,4,7,0,5,6,0,0,4
621,R,115,67,44,4,42,74,2,15,51
622,N,19,7,9,3,5,14,0,1,6
622,R,134,83,49,2,41,93,2,11,70
630,N,2,2,0,0,2,0,2,0,0
630,R,57,29,28,0,17,39,2,12,14
640,N,5,3,3,0,3,3,0,3,0
640,R,9,9,0,0,0,9,0,6,3
650,N,0,0,0,0,0,0,0,0,0
650,R,6,3,3,0,0,6,0,0,3
652,N,0,0,0,0,0,0,0,0,0
652,R,3,3,0,0,3,0,0,3,0
670,N,3,0,3,0,0,3,0,0,0
670,R,0,0,0,0,0,0,0,0,0
690,N,23,8,15,0,1,22,0,0,8
690,R,186,59,111,15,13,171,0,10,50
700,N,93,34,54,4,29,64,0,5,30
700,R,426,195,225,6,99,324,4,42,145
701,N,35,26,9,0,14,21,3,6,18
701,R,98,57,41,0,12,86,6,21,30
702,N,31,11,20,0,6,25,3,0,9
702,R,153,47,106,0,18,134,3,6,37
703,N,17,11,6,0,3,14,0,3,8
703,R,78,54,23,0,15,62,3,27,24
704,N,96,26,64,5,19,77,7,3,16
704,R,301,140,143,19,60,239,27,35,78
705,N,52,22,30,0,15,38,3,3,16
705,R,119,57,55,6,31,82,9,3,45
